Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
TMVG08;Sistemes avançats d'assistència a la conducció (ADAS);70,;2;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvg08;-;70,
SSCB0111;Prestació de serveis bibliotecaris;540,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC2024_3;Fer el servei de préstec bibliotecari;80,
IFCT103;Ciberseguretat: prevenció, anàlisi i resposta a incidents de seguretat.;49,;2;INFORMÀTICA I COMUNICACIONS;;;0,
ADGG0108;Assistència a la direcció;610,;3;ADMINISTRACIÓ I GESTIÓ;UC0986_3;Elaborar documentació i presentacions professionals en diferents formats;140,
IMSV28;Captura de so per a cinema i TV;50,;3;IMATGE I SO;;;0,
IMAI03;Serveis mecànics a parades de plantes industrials i plataformes Off-Shore;440,;2;INSTAL·LACIÓ I MANTENIMENT;noUC_imai03;;200,
EOCJ0111;Impermeabilització mitjançant membranes formades amb làmines;590,;2;EDIFICACIÓ I OBRA CIVIL;UC1911_2;Organitzar treballs de cobertes i impermeabilitzacions;60,
EOCE0007;PRL per a fonamentacions especials, sondejos i perforacions;20,;1;EDIFICACIÓ I OBRA CIVIL;;;0,
SSCE09;Alemany B2;240,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;noUC_ssce09;;240,
HOTR43;Comunicació al client de la informació sobre al·lèrgens;6,;2;HOSTALERIA I TURISME;;;0,
ARGI0109;Impressió òfset;560,;2;ARTS GRÀFIQUES;UC0203_2;Realitzar la impressió offset;90,
SSCG11;Atenció especialitzada a persones dependents amb Trastorn de l¿Espectre de l¿Autisme;250,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;noUC_sscg11;;15,
HOTT03;Protocol de protecció i seguretat a l'organització d'esdeveniments;30,;1;HOSTALERIA I TURISME;;;0,
IEXD0309;Desenvolupament i supervisió d'obres de restauració en pedra natural;510,;3;INDÚSTRIES EXTRACTIVES;UC1391_3;Avaluar danys i definir propostes d'obres per a la restauració en pedra natural;220,
HOTA0004;Tècniques i procediments de neteja|netedat en allotjaments;30,;1;HOSTALERIA I TURISME;noUC_hota0004;-;30,
IMAR07;Anglès tècnic aplicat al fred i la climatització;150,;2;INSTAL·LACIÓ I MANTENIMENT;noUC_imar07;-;25,
SSCG0112;Promoció i participació de la comunitat sorda;660,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1447_3;Assessorar i sensibilitzar a individus, col·lectius i institucions sobre la comunitat sorda;170,
ARTG0212;Manteniment i reparació d'instruments de vent-fusta;680,;2;ARTS I ARTESANIA;UC2109_2;Substituir molles planes i d'agulla en instruments de vent-fusta;30,
ELEQ0211;Reparació d'equips electrònics d'àudio i vídeo;580,;2;ELECTRICITAT I ELECTRÒNICA;UC0119_2;Reparar equips electrònics de vídeo;270,
SSCE0111;Promoció i intervenció socioeducativa amb persones amb discapacitat;450,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1450_3;Organitzar, desenvolupar i avaluar processos d'inclusió de persones amb discapacitat en espais d'oci i temps lliure;80,
IMPE0211;Caracterització de personatges;980,;3;IMATGE PERSONAL;UC1256_3;Elaborar pròtesis facials i corporals per a la seva caracterització;160,
HOTR0608;Serveis de restaurant;580,;2;HOSTALERIA I TURISME;UC1048_2;Servir vins i prestar informació bàsica sobre els mateixos;90,
IFCD0076;VMWARE VSPHERE ICM INSTALL, CONFIGURE, MANAGE;60,;2;INFORMÀTICA I COMUNICACIONS;;;0,
ENAC0108;Eficiència energètica d'edificis;920,;3;ENERGIA I AIGUA;UC1194_3;Avaluar l'eficiència energètica de les instal·lacions d'edificis;300,
FMEA0111;Muntatge d'estructures i instal·lació de sistemes i equips d'aeronaus;580,;2;FABRICACIÓ MECÀNICA;UC1850_2;Muntar estructures d'aeronaus;210,
AGAU0110;Producció de llavors i plantes en viver;580,;2;AGRÀRIA;UC0526_2;Manejar tractors i muntar instal·lacions agràries, realitzant el seu manteniment;120,
SSCI01;Neteja i desinfecció per al transport públic per carretera;15,;1;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
SSCG0029;Atenció a persones malaltes amb demència;15,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
IMAR0508;Desenvolupament de projectes d'instal·lacions calorífiques;570,;3;INSTAL·LACIÓ I MANTENIMENT;UC1163_3;Planificar i especificar el muntatge, les proves i els protocols d'instal·lacions calorífiques;160,
FMEM0311;Fabricació d'encunys per a la producció de peces de xapa metàl·lica;630,;3;FABRICACIÓ MECÀNICA;UC2158_3;Ajustar, muntar i verificar la funcionalitat i els components d'encunys;120,
EOCE0109;Aixecaments i replanteigs;600,;3;EDIFICACIÓ I OBRA CIVIL;UC0879_3;Realitzar replanteigs de projectes;200,
ARGT0109;Encunyació;330,;2;ARTS GRÀFIQUES;UC0694_2;Preparar els elements d'encunyació en relació al suport a transformar;70,
IMPE0211;Caracterització de personatges;980,;3;IMATGE PERSONAL;UC1255_3;Planificar, organitzar i gestionar projectes de caracterització;50,
FCOI05;Gestió i suport a la transformació digital a l'empresa;345,;4;FORMACIÓ COMPLEMENTARIA;noUC_fcoi05;;80,
FCOS02;Bàsic de prevenció de riscs laborals;30,;1;FORMACIÓ COMPLEMENTARIA;noUC_FCOS02;;7,
IEXM0309;Tractament i benefici de minerals, roques i altres materials;540,;2;INDÚSTRIES EXTRACTIVES;UC0422_2;Triturar, moldre i micronitzar els minerals, roques i altres materials;160,
TMVG02;Manteniment de vehicles híbrids i elèctrics;90,;3;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvg02;;20,
QUIE0208;Operacions en instal·lacions d'energia i de serveis auxiliars;530,;2;QUÍMICA;UC0321_2;Operar màquines, equips i instal·lacions de producció i distribució d'energies i serveis auxiliars.;150,
INAK0209;Obtenció d'olis de llavors i de greixos;480,;2;INDÚSTRIA ALIMENTÀRIA;UC0553_2;Realitzar i controlar les operacions corresponents en la línia d'extracció d'olis de llavors;110,
ELES0311;Gestió i supervisió del muntatge i manteniment de sistemes de producció audiovisual i de radiodifusió;680,;3;ELECTRICITAT I ELECTRÒNICA;UC1580_3;Gestionar i supervisar el muntatge de sistemes de transmissió per a radi i televisió en instal·lacions fixes i unitats mòbils;120,
QUIA0108;Assaigs físics i fisicoquímics;500,;3;QUÍMICA;UC0053_3;Organitzar el pla de mostreig i realitzar la presa de mostres.;70,
COMM0023;Instagram per al teu negoci;15,;2;COMERÇ I MARQUETING;;;0,
FCOO04;Foment i promoció del treball autònom;30,;2;FORMACIÓ COMPLEMENTARIA;noUC_fcoo04exp;;10,
ELEM0015;Processos de fabricació de vehicle elèctrics i híbrids;100,;4;ELECTRICITAT I ELECTRÒNICA;;;0,
AGAJ0109;Gestió i manteniment d'arbres i palmeres ornamentals;510,;3;AGRÀRIA;UC1119_2;Realitzar treballs en altura en els arbres;110,
IFCD53;Desenvolupament a Java amb Framework Spring;350,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd53;-;70,
ARGN0110;Desenvolupament de productes editorials multimèdia;570,;3;ARTS GRÀFIQUES;UC0935_3;Determinar les especificacions de projectes editorials multimèdia;90,
ARTG0212;Manteniment i reparació d'instruments de vent-fusta;680,;2;ARTS I ARTESANIA;noUC_MP0514;Mòdul de pràctiques professionals no laborals de 'Manteniment i reparació d'instruments de vent - fusta';120,
IMPE0210;Tractaments estètics;650,;3;IMATGE PERSONAL;UC0790_3;Realitzar el drenatge limfàtic manual i/o mecànic amb fins estètics;90,
IFCT09;Administració dIBM Websphere application server;150,;3;INFORMÀTICA I COMUNICACIONS;noUC_IFCT09;;20,
FCOI16;Creació de continguts digitals i programació. Nivell intermedi;40,;2;FORMACIÓ COMPLEMENTARIA;noUC_fcoi16;;7,
VICF0411;Control de materials, processos i productes en laboratori ceràmic;520,;2;VIDRE I CERÀMICA;noUC_MP0433;Mòdul de pràctiques professionals no laborals de 'Control de materials, processos i productes en laboratori ceràmic';40,
COML0023;Renovació en operacions de carretons elevadors de pal amb càrrega en voladís (categoria II, tipus 4);11,;1;COMERÇ I MARQUETING;;;0,
QUIA0208;Assaigs microbiològics i biotecnològics;520,;3;QUÍMICA;UC0052_3;Organitzar i gestionar l'activitat del laboratori aplicant els procediments i normes específiques.;130,
SEAG0111;Control de la contaminació atmosfèrica;570,;3;SEGURETAT I MEDI AMBIENT;UC1616_3;Operar en les diferents instal·lacions de depuració i control d'emissions a l'atmosfera i realitzar el manteniment de primer nivell;180,
ENAE0108;Muntatge i manteniment d'instal·lacions solars fotovoltaiques;540,;2;ENERGIA I AIGUA;UC0837_2;Mantenir instal·lacions solars fotovoltaiques;60,
HOTR0082;Presentació de vins i begudes;15,;3;HOSTALERIA I TURISME;;;0,
ELEQ0208;Gestió i supervisió de la instal·lació i manteniment de sistemes d'electromedicina;700,;3;ELECTRICITAT I ELECTRÒNICA;UC1272_3;Supervisar i realitzar la instal·lació de sistemes d'electromedicina i les seves instal·lacions associades;270,
EOCJ0111;Impermeabilització mitjançant membranes formades amb làmines;590,;2;EDIFICACIÓ I OBRA CIVIL;UC0869_1;Elaborar pastes, morters, adhesius i formigons;30,
ARGI0109;Impressió òfset;560,;2;ARTS GRÀFIQUES;UC0202_2;Determinar i ajustar els processos d'impressió offset;160,
FMEM09;Disseny avançat 3D Y 2D en CATIA v5;60,;3;FABRICACIÓ MECÀNICA;noUC_fmem09;-;8,
IMPE0109;Bronzejat, maquillatge i depilació avançada;590,;3;IMATGE PERSONAL;UC0581_3;Realitzar la depilació definitiva i/o supervisar processos de depilació temporal;140,
ARGN04;Disseny editorial amb Adobe Indesign;200,;3;ARTS GRÀFIQUES;;;0,
EOCJ0110;Instal·lació de placa de guix laminat i falsos sostres;550,;2;EDIFICACIÓ I OBRA CIVIL;UC1921_2;Instal·lar sistemes de falsos sostres;120,
INAH0310;Elaboració de refrescs i aigües de beguda envasades;240,;2;INDÚSTRIA ALIMENTÀRIA;UC0759_2;Preparar les mescles de bases i concentrats per a l'obtenció dels diferents productes que intervenen en l'elaboració de refrescos;50,
ENAS0108;Muntatge i manteniment de xarxes de gas;450,;2;ENERGIA I AIGUA;UC0610_2;Replantejar xarxes de gas.;60,
MAPN0512;Activitats auxiliars de manteniment de màquines, equips i instal·lacions del vaixell;430,;1;MARÍTIM PESQUER;UC0731_1;Realitzar operacions auxiliars de manteniment del motor principal del buc i els seus sistemes, i les guàrdies en la sala de màquines;140,
ARTB0111;Elaboració d'articles d'argenteria;620,;2;ARTS I ARTESANIA;noUC_MP0439;Mòdul de pràctiques professionals no laborals de 'Elaboració d'articles d'argenteria';80,
MAPN0312;Manipulació i conservació en pesca i aqüicultura;420,;2;MARÍTIM PESQUER;UC0010_1;Contribuir a les operacions de coberta en una embarcació pesquera;30,
FCOI17;Creació de continguts digitals i programació. Nivell avançat;40,;3;FORMACIÓ COMPLEMENTARIA;noUC_fcoi17;;10,
AGAN0210;Ferrat d'equins;710,;3;AGRÀRIA;UC1136_2;Realitzar les operacions de preparació i acabament del ferrament d'equins;170,
FCOI03;Blockchain Bàsic;50,;3;FORMACIÓ COMPLEMENTARIA;noUC_fcoi03;-;35,
COMT0018;Tècniques d'embolicar regals;8,;1;COMERÇ I MARQUETING;;;0,
VICF0209;Operacions de reproducció manual o semiautomàtica de productes ceràmics;420,;1;VIDRE I CERÀMICA;UC0650_1;Conformar productes ceràmics mitjançant emmotllament manual o semiautomàtic a partir de masses plàstiques;150,
TCPF0712;Patronatge d'articles de confecció en tèxtil i pell;780,;3;TÈXTIL, CONFECCIÓ I PELL;noUC_MP0589;Mòdul de pràctiques professionals no laborals de 'Patronatge d'articles de confecció en tèxtil i pell';120,
ENAE09;Connexió a la xarxa i integració d'energia eòlica;240,;4;ENERGIA I AIGUA;noUC_enae09;;100,
IFCT52;Administració Oracle Autonomous Database i Machine Learning;300,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct52;;10,
ARGI0112;Gestió de la producció en processos d'impressió;810,;3;ARTS GRÀFIQUES;UC1675_3;Organitzar i supervisar la producció en els processos d'impressió;130,
HOTU0111;Guarda de refugis i albergs de muntanya;720,;2;HOSTALERIA I TURISME;noUC_MP0494;Mòdul de pràctiques professionals no laborals de 'Guarda de refugis i albergs de muntanya';40,
FCOI16;Creació de continguts digitals i programació. Nivell intermedi;40,;2;FORMACIÓ COMPLEMENTARIA;noUC_fcoi16;;7,
INAH0109;Elaboració de vins i licors;600,;2;INDÚSTRIA ALIMENTÀRIA;UC0550_2;Realitzar vinificacions especials;90,
TMVL05;Metodologia de disseny de peces de plàstic i xapa amb CATIA V5 per al sector de l'automoció;80,;3;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvl05;-;35,
AFDA0211;Animació físic-esportiva i recreativa;590,;3;ACTIVITATS FÍSIQUES I ESPORTIVES;UC1659_3;Organitzar i dinamitzar esdeveniments, activitats i jocs d'animació físic-esportiva i recreativa per a tot tipus d'usuaris;150,
ARTN0109;Elaboració artesanal de productes de vidre en calent;660,;2;ARTS I ARTESANIA;UC1696_2;Elaborar a partir d'una massa vítria fosa objetes artesanals de vidre buit mitjançant bufament;180,
TMVO0212;Assistència a passatgers, tripulacions, aeronaus i mercaderies en aeroports;720,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC2217_2;Comunicar-se en anglès a nivell d'usuari independent en l'àmbit aeroportuari;90,
HOTR0059;Cuina de la pasta, arrossos, llegum i hortalisses;100,;1;HOSTALERIA I TURISME;;;0,
IFCD10;Virtualització, computació en el núvol i alta disponibilitat amb Oracle Solaris;185,;3;INFORMÀTICA I COMUNICACIONS;noUC_IFCD10;;25,
IMSV31;Drons en la producció audiovisual;110,;3;IMATGE I SO;noUC_imsv31;-;40,
IFCD50;Desenvolupament  d'aplicacions híbrides ..amb Android, iOS i Progressive Web Apps (PWA);300,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd50;-;50,
IMPE0005;Tècniques de maquillatge;20,;2;IMATGE PERSONAL;;;0,
TMVO0109;Operacions auxiliars de manteniment aeronàutic;410,;1;TRANSPORT I MANTENIMENT DE VEHICLES;UC1316_1;Realitzar operacions auxiliars de manteniment i serveis en taller d'aeronaus;210,
COML01;Màrqueting digital & e-commerce per a l'automoció;130,;3;COMERÇ I MARQUETING;noUC_coml01;;12,
IFCM0310;Gestió de xarxes de veu i dades;610,;3;INFORMÀTICA I COMUNICACIONS;UC0962_3;Integrar serveis de veu, dades i multimèdia;180,
IEXM0109;Operacions auxiliars en excavacions subterrànies i a cel obert;420,;1;INDÚSTRIES EXTRACTIVES;UC0856_1;Realitzar operacions auxiliars en sosteniment;80,
IMST0109;Producció fotogràfica;630,;3;IMATGE I SO;noUC_MP0254;Mòdul de pràctiques professionals no laborals de 'Producció fotogràfica';80,
CTRD0007;Competències bàsiques en relació amb l'ofimàtica;30,;1;COMPETÈNCIES TRANSVERSALS;;;0,
IEXM0209;Sondejos;690,;2;INDÚSTRIES EXTRACTIVES;UC0414_2;Preparar els equips per realitzar el sondeig;210,
ELES0411;Gestió i supervisió del muntatge i manteniment d'equipament de xarxa i estacions base de telefonia;770,;3;ELECTRICITAT I ELECTRÒNICA;UC1574_3;Gestionar i supervisar els processos de manteniment dels sistemes de telecomunicació de xarxa telefònica;180,
ADGG0308;Assistència documental i de gestió en despatxos i oficines;750,;3;ADMINISTRACIÓ I GESTIÓ;UC0987_3;Administrar els sistemes d'informació i arxiu en suport convencional i informàtic;120,
AGAU0112;Producció i recol·lecció de bolets i tòfones;760,;2;AGRÀRIA;UC1813_2;Realitzar la recol·lecció de bolets i tòfones;150,
IMAR19;Fabricació de conductes per a la conducció de fluids en instal·lacions de climatització;90,;2;INSTAL·LACIÓ I MANTENIMENT;noUC_imar19;;15,
HOTR0110;Direcció i producció en cuina;1.110,;3;HOSTALERIA I TURISME;UC1062_3;Catar aliments per a la seva selecció i ús en hoteleria;60,
IMAR0109;Desenvolupament de projectes d'instal·lacions de climatització i ventilació-extracció;570,;3;INSTAL·LACIÓ I MANTENIMENT;UC1166_3;Planificar i especificar el muntatge, les proves i els protocols d'instal·lacions de climatització i ventilació-extracció;160,
IFCT55;Oracle Big Data Cloud analista;185,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct55;;50,
AGAN0016;Manipulació i aplicació de productes biocides en ramaderia. Mòdul específic;13,;1;AGRÀRIA;;;0,
MAMA0310;Preparació de la fusta;350,;2;FUSTA, MOBLE I SURO;UC0685_2;Realitzar tractaments preventius a la fusta;60,
QUIA0110;Organització i control d'assaigs no destructius;880,;3;QUÍMICA;UC1548_3;Organitzar, supervisar i realitzar assajos no destructius mitjançant el métode de radiologia industrial, i avaluar els resultats;150,
ARTB0211;Reparació de joieria;590,;2;ARTS I ARTESANIA;UC2045_2;Recepcionar i diagnosticar peces de joieria;130,
CTRL0025;Rus A.1;150,;2;COMPETÈNCIES TRANSVERSALS;;;0,
SEAG0311;Gestió de serveis per al control d'organismes nocius;510,;3;SEGURETAT I MEDI AMBIENT;UC0802_3;Adoptar les mesures de prevenció de riscos laborals i ambientals en la prestació de serveis de control d'organismes nocius;80,
COMT11;Gestió d'incidències del viatger. Fidelització del client;30,;2;COMERÇ I MARQUETING;;;0,
IFCT0209;Sistemes microinformàtics;600,;2;INFORMÀTICA I COMUNICACIONS;UC0222_2;Facilitar a l'usuari la utilització de paquets informàtics de propòsit general i aplicacions específiques;200,
ENAE0111;Operacions bàsiques en el muntatge i manteniment d'instal·lacions d'energies renovables;540,;1;ENERGIA I AIGUA;UC2052_1;Realitzar operacions bàsiques en el muntatge i manteniment d'instal·lacions eòliques de baixa potència;90,
ADGD0108;Gestió comptable i gestió administrativa per a auditoria;630,;3;ADMINISTRACIÓ I GESTIÓ;UC0231_3;Realitzar la gestió comptable i fiscal;240,
ADGD0064;Comptabilitat avançada;60,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
EOCB0208;Operacions auxiliars de paleta d'obra de fàbrica i de cobertes;320,;1;EDIFICACIÓ I OBRA CIVIL;UC0870_1;Construir faldons per a cobertes;120,
SEAD0125;C.20. Construcció i manteniment de vies fèrries. Formació de reciclatge;4,;1;SEGURETAT I MEDI AMBIENT;;;0,
EOCJ0111;Impermeabilització mitjançant membranes formades amb làmines;590,;2;EDIFICACIÓ I OBRA CIVIL;noUC_MP0483;Mòdul de pràctiques professionals no laborals de 'Impermeabilització mitjançant membranes formades amb làmines';80,
CTRC0001;Resolució de conflictes;30,;1;COMPETÈNCIES TRANSVERSALS;;;0,
ENAA0109;Organització i control del muntatge i manteniment de xarxes i instal·lacions d'aigua i sanejament;510,;3;ENERGIA I AIGUA;UC0841_3;Organitzar el manteniment d'instal·lacions d'abastament i distribució d'aigua i sanejament;140,
FMEA0211;Fabricació d'elements aeroespacials amb materials compostos;660,;2;FABRICACIÓ MECÀNICA;UC1845_2;Fabricar elements aeroespacials de material compost per emmotllament manual;180,
HOTR25;Mesures preventives en el repartiment i recollida de comandes en activitats de restauració;15,;2;HOSTALERIA I TURISME;;;0,
COMT09;Psicologia aplicada a les vendes;40,;2;COMERÇ I MARQUETING;noUC_comt09;Psicologia aplicada a les vendes;10,
IFCT0309;Muntatge i reparació de sistemes microinformàtics;510,;2;INFORMÀTICA I COMUNICACIONS;noUC_MP0179;Mòdul de pràctiques professionals no laborals de 'Muntatge i reparació de sistemes microinformàtics';40,
FMEF0308;Producció en fosa i pulvimetal·lúrgia;560,;3;FABRICACIÓ MECÀNICA;UC0589_3;Definir processos operacionals de foneria.;180,
COMM0112;Gestió de màrketing i comunicació;810,;3;COMERÇ I MARQUETING;UC2188_3;Assistir en l'organització i seguiment del pla de mitjans i suports establert;90,
ADGN0108;Finançament d'empreses;630,;3;ADMINISTRACIÓ I GESTIÓ;UC0233_2;Manejar aplicacions ofimàtiques en la gestió de la informació i la documentació;190,
TCPP0212;Teixidura de punt per ordit;610,;2;TÈXTIL, CONFECCIÓ I PELL;UC0897_2;Preparar fils i ordir plegadores per a telers de punt per ordit;100,
FCOI09;Iniciació a l'aplicació de les noves tecnologies a les empreses;12,;1;FORMACIÓ COMPLEMENTARIA;;;0,
AGAJ0108;Activitats auxiliars en floristeria;390,;1;AGRÀRIA;UC1114_1;Realitzar treballs auxiliars en l'elaboració de composicions amb flors i plantes;90,
FMEC01;Fusteria de tancaments d'alumini i PVC;400,;2;FABRICACIÓ MECÀNICA;noUC_fmec01;-;70,
IFCT07;Administració i gestió de business intelligence i magatzem de dades (data warehouse) amb IBM;145,;3;INFORMÀTICA I COMUNICACIONS;noUC_IFCT07;;20,
HOTR0032;Evolució de les tecnologies i tècniques culinàries;80,;1;HOSTALERIA I TURISME;noUC_hotr0032;-;40,
QUIA0112;Organització i control d'assaigs destructius de caracterització de materials i productes;880,;3;QUÍMICA;UC2198_3;Organitzar, supervisar i realitzar el calibratge i verificació dels equips i assajos metrològics i avaluar els resultats;60,
IMSE0111;Animació musical i visual en viu i en directe;350,;2;IMATGE I SO;UC1396_2;Preparar la infraestructura i col·laborar en la programació i promoció de sessions d'animació musical i visual en viu i en directe;50,
IFCM0410;Gestió i supervisió d'alarmes en xarxes de comunicacions;680,;3;INFORMÀTICA I COMUNICACIONS;UC1216_3;Monitoritzar l'estat i la disponibilitat de la xarxa de comunicacions i dels serveis implementats;240,
TCPF0012;Disseny de moda tèxtil. Confecció;20,;2;TÈXTIL, CONFECCIÓ I PELL;;;0,
INAH0109;Elaboració de vins i licors;600,;2;INDÚSTRIA ALIMENTÀRIA;noUC_MP0194;Mòdul de pràctiques professionals no laborals d''Elaboració de vins i licors';80,
HOTR56;Procediments bàsics al servei de sala;125,;1;HOSTALERIA I TURISME;noUC_hotr56;;40,
FMEM0006;Disseny mecànic. Nivell I;30,;2;FABRICACIÓ MECÀNICA;;;0,
IMAI04;Manteniment d¿ascensors;125,;2;INSTAL·LACIÓ I MANTENIMENT;noUC_imai04;;5,
IEXD0309;Desenvolupament i supervisió d'obres de restauració en pedra natural;510,;3;INDÚSTRIES EXTRACTIVES;UC1392_3;Desenvolupar projectes tècnics de restauració d'obres en pedra natural i programar-ne l'execució;110,
IFCD108;Machine Learning Aws.;120,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd108;;10,
ARGI0112;Gestió de la producció en processos d'impressió;810,;3;ARTS GRÀFIQUES;UC1670_3;Determinar els materials de producció a la indústria gràfica;110,
SEAD0512;Instrucció canina en operacions de seguretat i protecció civil;670,;3;SEGURETAT I MEDI AMBIENT;UC1741_2;Ensinistrar el gos amb tècniques d'ensinistrament de base;150,
TMVL0209;Manteniment d'elements no estructurals de carrosseries de vehicles;630,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC0128_2;Realitzar la reparació d'elements metàl·lics i sintètics;230,
IMAQ0210;Desenvolupament de projectes d'instal · lacions de manutenció, elevació i transport;620,;3;INSTAL·LACIÓ I MANTENIMENT;UC1882_3;Desenvolupar les característiques mecàniques i estructurals de les instal·lacions de manutenció, elevació i transport;150,
TMVL0509;Pintura de vehicles;500,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC0123_2;Efectuar l'embelliment de superfícies;230,
TCPN0512;Acabat de pells;470,;2;TÈXTIL, CONFECCIÓ I PELL;UC0888_2;Realitzar l'acabament de les pells;130,
ENAA01;Ús eficient de l'aigua en el disseny i control del reg de jardins i zones verdes;200,;2;ENERGIA I AIGUA;noUC_enaa01;-;90,
SSCE0010;Sistemes de gestió de qualitat en els centres educatius;15,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
SSCI0007;Serveis de neteja|netedat en centres hospitalaris;20,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
FCOI20;Comunicació i col·laboració amb eines digitals. Nivell intermedi;40,;3;FORMACIÓ COMPLEMENTARIA;noUC_fcoi20;;15,
SSCG0111;Gestió de trucades de teleassistència;310,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1423_2;Atendre i gestionar les trucades entrants del servei de teleassistència;90,
AGAN0210;Ferrat d'equins;710,;3;AGRÀRIA;UC1137_2;Realitzar la conformació de l'aplom del casc, forja, adaptació i col·locació de ferradures i altres materials de ferrament en equins;360,
ARTN0309;Transformació artesanal de vidre en fred;670,;2;ARTS I ARTESANIA;UC1703_2;Gravar productes de vidre conformat mitjançant rodes;110,
ARTB04;Dibuix vectorial aplicat al gravat i tall làser;120,;2;ARTS I ARTESANIA;noUC_artb04;;45,
ENAC12;Planificació de negocis a la transició energètica;200,;5;ENERGIA I AIGUA;noUC_enac12;;80,
SSCI0010;Neteja|Netedat de superfícies;30,;1;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
IEXD0409;Col·locació de pedra natural;640,;2;INDÚSTRIES EXTRACTIVES;UC1376_2;Col·locar elements singulars de pedra natural;120,
TMVO12;Formació per a Pilot professional de Drons (STS);120,;2;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
ELEQ0108;Instal·lació i manteniment de sistemes d'electromedicina;600,;2;ELECTRICITAT I ELECTRÒNICA;UC1269_2;Instal·lar sistemes d'electromedicina i les seves instal·lacions associades;300,
ARGA0211;Enquadernació artística;750,;3;ARTS GRÀFIQUES;UC1352_3;Definir projectes d'enquadernació artística;120,
HOTA0003;Recepció i atenció al client en establiments d'allotjament;65,;1;HOSTALERIA I TURISME;noUC_hota0003;-;40,
HOTI0108;Promoció turística local i informació al visitant;690,;3;HOSTALERIA I TURISME;UC1074_3;Gestionar informació turística.;180,
SEAD0112;Vigilància, seguretat privada i protecció de persones;330,;2;SEGURETAT I MEDI AMBIENT;UC0080_2;Vigilar i protegir béns i persones evitant la comissió de delictes i infraccions.;250,
SSCE21;Tutorització de la formació pràctica en centres de treball;25,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;noUC_ssce21;;8,
TMVG0050;Sistemes de propulsió i emmagatzematge en vehicles elèctrics: Materials i disseny;90,;5;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
IFCD28;Desenvolupament de videojocs i realitat virtual amb unity 3D;300,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd28;;35,
ELEM0511;Desenvolupament de projectes de sistemes domòtics i immòtics;550,;3;ELECTRICITAT I ELECTRÒNICA;UC1981_3;Desenvolupar projectes de sistemes immòtics;180,
COMM0112;Gestió de màrketing i comunicació;810,;3;COMERÇ I MARQUETING;UC2186_3;Gestionar el llançament i implantació de productes i serveis en el mercat;90,
ELES0311;Gestió i supervisió del muntatge i manteniment de sistemes de producció audiovisual i de radiodifusió;680,;3;ELECTRICITAT I ELECTRÒNICA;UC1578_3;Gestionar i supervisar el muntatge de sistemes de producció audiovisual en estudis i unitats mòbils;150,
COML01;Màrqueting digital & e-commerce per a l'automoció;130,;3;COMERÇ I MARQUETING;noUC_coml01;;6,
AGAR0110;Gestió d'aprofitaments forestals;630,;3;AGRÀRIA;UC1488_3;Gestionar els aprofitaments forestals no fusters;180,
HOTR0408;Cuina;810,;2;HOSTALERIA I TURISME;UC0262_2;Preparar i presentar els plats més significatius de les cuines regionals d'Espanya i de la cuina internacional.;170,
IMSV32;Flux de treball en sèries de ficció de televisió;60,;3;IMATGE I SO;;;0,
IFCT55;Oracle Big Data Cloud analista;185,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct55;;45,
ENAA0109;Organització i control del muntatge i manteniment de xarxes i instal·lacions d'aigua i sanejament;510,;3;ENERGIA I AIGUA;UC0838_3;Col·laborar en la planificació de l'execució d'obres de xarxes i instal·lacions d'abastament i distribució d'aigua i sanejament;170,
